subject,num_trials,v_norm_mean,v_norm_median,v_norm_std,a_0_mean,a_0_median,a_0_std,w_s_eff_mean,w_s_eff_median,w_s_eff_std,t_0_mean,t_0_median,t_0_std,alpha_gain_mean,alpha_gain_median,alpha_gain_std,beta_val_mean,beta_val_median,beta_val_std
133,288,0.675357460975647,0.6933403015136719,0.16375015676021576,1.509279727935791,1.5315438508987427,0.24012744426727295,0.8781540393829346,0.8832120895385742,0.17019003629684448,0.3148052394390106,0.3138349652290344,0.09629546105861664,0.7526432871818542,0.7518072724342346,0.07140801101922989,0.016136620193719864,0.03497587516903877,0.23609404265880585
134,288,0.6605643033981323,0.6679865717887878,0.17094700038433075,1.4943225383758545,1.4742239713668823,0.23632213473320007,0.8852611184120178,0.8967479467391968,0.16880324482917786,0.30860427021980286,0.30350461602211,0.09542746096849442,0.7500389218330383,0.7445687651634216,0.07086516171693802,0.0008100218838080764,-0.007118346635252237,0.23363299667835236
135,288,0.6697121262550354,0.6813367009162903,0.16621774435043335,1.484312891960144,1.4752750396728516,0.24719136953353882,0.8750590682029724,0.8903782963752747,0.17592181265354156,0.3169054687023163,0.3180404305458069,0.09626614302396774,0.7484187483787537,0.7450074553489685,0.0697394385933876,0.01638355292379856,0.02939683198928833,0.2463909089565277
136,288,0.6617985367774963,0.6529775261878967,0.16634701192378998,1.4946939945220947,1.4703776836395264,0.23654255270957947,0.8866804242134094,0.9039196372032166,0.1712707132101059,0.3096654713153839,0.3068324625492096,0.0932612270116806,0.7489805817604065,0.743304967880249,0.07220537215471268,-0.009513403289020061,-0.02729005366563797,0.23539911210536957
138,288,0.6606634259223938,0.6707864999771118,0.16646164655685425,1.5094496011734009,1.5094006061553955,0.23486171662807465,0.8694555759429932,0.8682924509048462,0.17123374342918396,0.3112832307815552,0.3126245439052582,0.09500940144062042,0.7493228912353516,0.7555933594703674,0.07096980512142181,0.014422877691686153,0.046087846159935,0.2412772923707962
141,288,0.6705036759376526,0.6743510961532593,0.16602596640586853,1.5001442432403564,1.462340235710144,0.2333875447511673,0.8966031670570374,0.9269815683364868,0.16833096742630005,0.3058231770992279,0.29443177580833435,0.09636661410331726,0.7468850612640381,0.7352110147476196,0.07187506556510925,0.01075227465480566,0.03496415168046951,0.24135714769363403
142,288,0.6672940850257874,0.6750157475471497,0.16408732533454895,1.486579418182373,1.4672691822052002,0.2435447722673416,0.8716201782226562,0.8851232528686523,0.17525137960910797,0.3123888373374939,0.3073022961616516,0.09459884464740753,0.7517309188842773,0.7567623257637024,0.07177989929914474,0.022878842428326607,0.04824099689722061,0.23780041933059692
143,288,0.6559611558914185,0.6501297354698181,0.16502341628074646,1.4943276643753052,1.4876476526260376,0.2331250011920929,0.8881145119667053,0.9009526371955872,0.1662735641002655,0.3137861490249634,0.308859258890152,0.09514427185058594,0.7500173449516296,0.7432413697242737,0.06948299705982208,0.009704423137009144,0.027450425550341606,0.23375655710697174
144,288,0.6692420244216919,0.6710995435714722,0.16372962296009064,1.5110265016555786,1.5026873350143433,0.23384679853916168,0.8850389122962952,0.902121365070343,0.16913464665412903,0.3105609714984894,0.304320752620697,0.09282046556472778,0.7495132088661194,0.7492764592170715,0.07060287892818451,0.023016130551695824,0.0621594600379467,0.23517826199531555
145,288,0.6652936339378357,0.6615347862243652,0.15786254405975342,1.4905378818511963,1.4715065956115723,0.24087651073932648,0.8876808881759644,0.9073637127876282,0.1701575368642807,0.31296470761299133,0.3042108118534088,0.09415710717439651,0.7491630911827087,0.7547311782836914,0.07302621006965637,0.005596644710749388,0.006043687462806702,0.23589996993541718
